gold_label,sentence1_jeju,sentence2_jeju,ai_answer,result
neutral,ºÐ¸¸Àº PitocinÀ¸·Î À¯µµµÆ¼ö´Ù.,È¯ÀÚ´Â ÀÓ½Å ±â°£ ±æ¾ú¼ö´Ù.,,
entailment,"´Ù±âÇü ±³¸ð¼¼Æ÷Á¾(WHO IV) ¼ö¼ú ÈÄ([**3206-7-20**]) Ç×¾Ï¡¤¹æ»ç¼± Ä¡·á(¿Ï·áÀÏ: [**3206-9-28**])¸¦ ÇßÁÖ°Ô, º¹ÇÕ ºÎºÐ ¹ßÀÛµµ ÀÖ¾ú°í, µÎÅëÀÌ¶û Ç÷¾Ðµµ ³ô¾Ò¼ö´Ù.",È¯ÀÚ´Â ¾Ï ¾Î°í ÀÖ¼ö´Ù.,,
contradiction,"´Ù±âÇü ±³¸ð¼¼Æ÷Á¾(WHO IV) ¼ö¼ú ÈÄ([**3206-7-20**]) È­ÇÐ¡¤¹æ»ç¼± Ä¡·á(¿Ï·áÀÏ: [**3206-9-28**])¸¦ ÇßÁÖ°Ô, º¹ÇÕ ºÎºÐ ¹ßÀÛµµ ÀÖ°í, ÆíµÎÅëÇÏ°í °íÇ÷¾Ðµµ ÀÖ¾ú¼ö´Ù.",È¯ÀÚ´Â ¼ö¼ú ¾È ¹Þ¾Ò¼ö´Ù.,,
neutral,"´ÙÇü¼º ±³¸ð¼¼Æ÷Á¾(WHO IV) ¼ö¼ú ÈÄ([**3206-7-20**]) Ç×¾Ï¡¤¹æ»ç¼± Ä¡·á(¿Ï·áÀÏ: [**3206-9-28**])¸¦ ÇßÁÖ°Ô, º¹ÇÕ ºÎºÐ ¹ßÀÛµµ ÀÖ°í, ÆíµÎÅëÇÏ°í Ç÷¾Ðµµ ³ô¾Ò¼ö´Ù.",È¯ÀÚ ¿¹ÈÄ ºñÁ¤»óÀÌ¿ì´Ù.,,
entailment,"½ÉÀüµµ °á°ú, ºÎÁ¤¸Æ ¾ø´Â ºü¸¥¸ÆÀÌ º¸¿´ÁÖ°Ô, ±Þ¼º ST/TÆÄ ¿ªÀüÀº ¾ø¾ú¼ö´Ù.",È¯ÀÚ´Â ½ÉÀå »¡¸® ¶Ù´Â °Å·Î Èûµé¾îÇÏ¿ì´Ù.,,
contradiction,"½ÉÀüµµ °á°ú ½Å½º Å¸Å°Ä«µð¾Æ°¡ º¸¿´ÁÖ°Ô, ±Þ¼º ST/TWI´Â ¾ø¾ú¼ö´Ù.",È¯ÀÚÀÇ Ç÷¾ÐÀº Á¤»óÀÌ¿ì´Ù.,,
neutral,"½ÉÀüµµ °á°ú ºü¸¥¸ÆÀÌ º¸¿´ÁÖ°Ô, ±Þ¼º ST/TÆÄ ¿ªÀüÀº ¾ø¾ú¼ö´Ù.",È¯ÀÚ´Â Ç÷¾Ð ³·¼ö´Ù.,,
entailment,¸í¹éÇÑ ÀÜ¿© Áõ»óÀÌ ¾ø¼ö´Ù.,È¯ÀÚ´Â Áõ»ó ³ªÅ¸³ª°í ÀÖ¼ö´Ù.,,
contradiction,¸í¹éÇÑ ÀÜ¿© Áõ»óÀÌ ¾ø¼ö´Ù.,È¯ÀÚ´Â ½ÉÇÑ ¹è ¾ÆÇÄ °Þ°í ÀÖ¼ö´Ù.,,
neutral,¸í¹éÇÑ ÀÜ¿© Áõ»óÀÌ ¾ø¼ö´Ù.,È¯ÀÚ°¡ ³úÁ¹Áß °Þ¾ú¼ö´Ù.,,
entailment,"±× ³²ÀÚ´Â Ã¼¿ÂÀ» ¿Ã¸®°í, ¸öÀ» ¸»¸®°í, ÀÚ±ØÀ» Áá¼ö´Ù.",È¯ÀÚ´Â Ã¼¿Â ¿Ã¶ú¼ö´Ù.,,
contradiction,"±× ³²ÀÚ´Â Ã¼¿ÂÀ» ¿Ã¸®°í, ¸öÀ» ¸»¸®°í ÀÖ´Â µ¿¾È ÀÚ±ØÀ» ¹Þ¾Ò¼ö´Ù.",È¯ÀÚ°¡ Ã¼¿Â ³·Ãß´Â Ä¡·á ¹Þ¾Ò¼ö´Ù.,,
neutral,"±× ³²ÀÚ´Â Ã¼¿ÂÀ» ¿Ã¸®°í, ¸öÀ» ¸»¸®°í, ÀÚ±ØÀ» Áá¼ö´Ù.",È¯ÀÚÀÇ ÀÇ½Ä Èå¸´ÇØÁ³¼ö´Ù.,,
entailment,"±× ¿©ÀÚ´Â ±¸¾ÆÀÌ¾Ç ¾ç¼ºÀÇ ¿¬°¥»ö ¶ËÀ» ºÃ°í, G-Æ©ºê¿¡¼­´Â ÃÊ·Ï»ö ºÐºñ¹°ÀÌ ³ª¿Ô¼ö´Ù.",È¯ÀÚ´Â À§Àå°ü ÃâÇ÷ ¼Ò°ß ÀÖ¼ö´Ù.,,
contradiction,"±× ¿©ÀÚ´Â ±¸¾ÆÀÌ¾Ç ¾ç¼ºÀÇ ¿¬°¥»ö ¶ËÀ» ºÃ°í, G-Æ©ºê¿¡¼­ ÃÊ·Ï»ö ºÐºñ¹°ÀÌ ³ª¿À´Â °Ô º¸¿´¼ö´Ù.",È¯ÀÚ´Â À§Àå ÃâÇ÷ ¾ø¼ö´Ù.,,
neutral,"±× ¿©ÀÚ´Â ±¸¾ÆÀÌ¾Ç ¾ç¼ºÀÇ ¿¬°¥»ö ¶ËÀ» ºÃ°í, G-Æ©ºê¿¡¼­ ÃÊ·Ï»ö ºÐºñ¹°ÀÌ ³ª¿Ô¼ö´Ù.",È¯ÀÚ´Â G-Æ©ºê ºÎÀ§¿¡¼­ ÃâÇ÷ »ý±â°í ÀÖ¼ö´Ù.,,
entailment,"±× ³²ÀÚ´Â ¾Æ¹Ì¿À´Ù·Ð 150mgÀ» ¸Â°í, 1¹ø Ãæ°ÝÀ» ¹ÞÀº µÚ, ½ÉÀå¸¶ºñ ÈÄ 1ºÐ ¾È¿¡ ¸ÆÀÌ µ¹¾Æ¿Ô¼ö´Ù.",È¯ÀÚ´Â ¿¹Àü¿¡ ½ÉÀå¸¶ºñ °ÞÀº Àû ÀÖ¼ö´Ù.,,
contradiction,"±× ³²ÀÚ´Â ¾Æ¹Ì¿À´Ù·Ð 150mgÀ» ¸Â°í, 1¹ø ½ÉÀå Ãæ°ÝÀ» ¹ÞÀº µÚ, ½ÉÀå Á¤Áö ÈÄ 1ºÐ ¾È¿¡ ¸ÆÀÌ µ¹¾Æ¿Ô¼ö´Ù.",È¯ÀÚ´Â CPR ¹ÞÀº º´·Â ¾ø¼ö´Ù.,,
neutral,"±× ³²ÀÚ´Â ¾Æ¹Ì¿À´Ù·Ð 150mgÀ» ¸Â°í, 1¹ø Ãæ°ÝÀ» ¹ÞÀº µÚ, ½ÉÀå¸¶ºñ ÈÄ 1ºÐ ¾È¿¡ ¸ÆÀÌ µ¹¾Æ¿Ô¼ö´Ù.",È¯ÀÚ´Â ÇãÇ÷Áõ ¾Î°í ÀÖ¼ö´Ù.,,
entailment,"¿¬ÇÏ°ï¶õÀÌ ÀÖ°í [** À§Ä¡ **] À§Àå°ü ÇÇ½ºÅä¹Ì Æ©ºê°¡ ÀÖ¾úÁö¸¸, ÃÖ±Ù »ïÅ´ °Ë»ç °á°ú°¡ ÁÁ¾Æ¼­ Áö±ÝÀº ºÎµå·¯¿î À½½ÄÀ» ¸Ô°í ÀÖ¼ö´Ù.",È¯ÀÚ´Â »ïÅ´ °ï¶õ °Þ°í ÀÖ¼ö´Ù.,,
contradiction,"¿¬ÇÏ°ï¶õÀÌ ÀÖ°í [** À§Ä¡ **] À§Àå°ü Àý°³°üÀÌ ÀÖ¾úÁö¸¸, ÃÖ±Ù »ïÅ´ °Ë»ç °á°ú°¡ Àß ³ª¿Í¼­ Áö±ÝÀº ¿¬ÇÑ À½½ÄÀ» ¸Ô°í ÀÖ¼ö´Ù.",È¯ÀÚÀÇ »ïÅ´ ¹ÝÀÀÀº Á¤»óÀÌ¿ì´Ù.,,
neutral,"¿¬ÇÏ°ï¶õÀÌ ÀÖ¾ð µ¥´Ù [** À§Ä¡ **] À§Àå°ü Æ©ºêµµ ²ÈÇô ÀÖ¾úÁÖ¸¸, ÃÖ±Ù¿¡ ÇÑ »ïÅ´ °Ë»ç °á°ú°¡ ÁÁ¾ÆÁ®¼­ ÀÌÁ¦´Â ºÎµå·¯¿î À½½Ä ¸Ô¾îµµ ±¦Âú´Ù ÇÏ¿ì´Ù.",È¯ÀÚ°¡ »ç·¡ µé·Á¼­ ÈíÀÎÇÏ°í ÀÖ¾ú¼ö´Ù.,,
entailment,"[**3350-5-12**] ³¯¿¡ ÇÑ ½ÉÀå Ä«Å×ÅÍ °Ë»ç¼­ Æ®·ÎÆ÷´ÑÀÌ ´Üµ¶À¸·Î »õ¾î ³ª¿À´Â °ÍÀÌ È®ÀÎµÆÁÖ°Ô. ±×¶§ ½É¹ÚÃâ·üÀº 60%¿´°í ½ÉÀå ¹Ú¸· ¿òÁ÷ÀÓÀÌ Àß ¾È µÆÁÖ°í, ÁÂ½É½Ç ³¡ ÀÌ¿Ï±â ¾Ð·ÂÀº 14¿´ÁÖ°Ô. ¿À¸¥ÂÊ °ü»óµ¿¸Æ¿£ Àü¹ÝÀûÀ¸·Î º´ÀÌ ÆÛÁ® ÀÖ¾ú°í, ¿ÞÂÊÀÌ ¿ì¼¼ÇÑ Ã¼°è¿©¼­ ÁÂÃø °ü»óµ¿¸ÆÀº ±ÙÀ§ºÎ 80%, Áß°£ ÁÂÀüÇÏÇàµ¿¸Æ 60%, ¸ÕÂÊ 90% º´º¯ÀÌ º¸¿´ÁÖ°Ô.",È¯ÀÚ´Â ¿©·¯ Ç÷°ü¿¡ °ü»óµ¿¸Æ ÁúÈ¯ ÀÖ¼ö´Ù.,,
contradiction,"[**3350-5-12**] ³¯¿¡ ÇÑ ½ÉÀå Ä«Å×ÅÍ °Ë»ç¼­ Æ®·ÎÆ÷´Ñ ´Üµ¶ ´©Ãâ È®ÀÎµÆÁÖ°í, ½É¹ÚÃâ·üÀº 60%, ½ÉÀå ¹Ú¸· ¿òÁ÷ÀÓÀº °ÅÀÇ ¾ø¾úÁÖ°í, ÁÂ½É½Ç ³¡ ÀÌ¿Ï±â ¾Ð·ÂÀº 14¿´ÁÖ°Ô. ¿À¸¥ÂÊ °ü»óµ¿¸ÆÀº È®»ê¼º º´º¯ÀÌ ÀÖ¾ú°í, ¿ÞÂÊÀÌ ¿ì¼¼ÇÑ Ã¼°è¿©¼­ ÁÂÃø °ü»óµ¿¸ÆÀº ±ÙÀ§ºÎ 80%, Áß°£ ÁÂÀüÇÏÇàµ¿¸Æ 60%, ¸ÕÂÊ 90% º´º¯ÀÌ º¸¿´ÁÖ°Ô.",È¯ÀÚÀÇ °ü»óµ¿¸ÆÀº Á¤»óÀÌ¿ì´Ù.,,
neutral,"[**3350-5-12**] ³¯¿¡ ÇÑ ½ÉÀå Ä«Å×ÅÍÈ­´Â Æ®·ÎÆ÷´Ñ ´Üµ¶ ´©Ãâ È®ÀÎÇÏ·Á°í ½ÃÇàÇÑ °Å°í, ±×¶§ ½É¹ÚÃâ·üÀº 60%, ½ÉÀå ¹Ú¸· ¿òÁ÷ÀÓ(apical akinesis)ÀÌ °ÅÀÇ ¾ø¾úÁÖ¸ç, ÁÂ½É½Ç ³¡ ÀÌ¿Ï±â ¾Ð·ÂÀº 14¿´ÁÖ°Ô. ¿À¸¥ÂÊ °ü»óµ¿¸Æ ÀüÃ¼¿¡ º´ÀÌ º¸¿´°í, ¿ÞÂÊÀÌ ¿ì¼¼ÇÑ Ã¼°è¿©¼­ ÁÂÃø °ü»óµ¿¸ÆÀº ±ÙÀ§ºÎ 80%, Áß°£ ÁÂÀüÇÏÇàµ¿¸Æ 60%, ¸ÕÂÊ 90% º´º¯ÀÌ º¸¿´ÁÖ°Ô.",½ºÅÙÆ®°¡ µé¾î°¬¼ö´Ù.,,
entailment,"(±âÁØ¼± 1.1) BNP [**¼ýÀÚ ½Äº°ÀÚ 23983**]ÀÌ¶û Æ®·ÎÆ÷´Ñ ¼öÄ¡°¡ .44 ¿À¸£¸Û, »õ·Î »ý±ä ½É¹æ¼¼µ¿ÀÌ¶û ±Þ¼º ½ÅºÎÀü »óÈ² ¼Ó¿¡¼­ ³ªÅ¸³­ °Å¶ó ÇÏ¿ì´Ù.",È¯ÀÚ´Â ½ÉÀå È¿¼Ò ¼öÄ¡°¡ ºñÁ¤»óÀûÀÌ¿ì´Ù.,,
contradiction,"(±âÁØ¼± 1.1) BNP [**¼ýÀÚ ½Äº°ÀÚ 23983**]ÀÌ¶û Æ®·ÎÆ÷´Ñ .44°¡ ¿Ã¶ó°¬ÁÖ¸Û, »õ·Î »ý±ä ½É¹æ¼¼µ¿ÀÌ¶û ±Þ¼º ½ÅºÎÀü ¸Æ¶ô ¼Ó¿¡ ÀÖ´Â °Å¶ó ÇÏ¿ì´Ù.",È¯ÀÚÀÇ ½ÉÀå °Ë»ç °á°ú´Â Á¤»óÀÌ¿ì´Ù.,,
neutral,"(±âÁØ¼± 1.1) BNP [**¼ýÀÚ ½Äº°ÀÚ 23983**]ÀÌ¶û Æ®·ÎÆ÷´Ñ .44 »ó½ÂÀÌ È®ÀÎµÆÁÖ¸Û, »õ ½É¹æ¼¼µ¿ÀÌ¶û ±Þ¼º ½ÅºÎÀü »óÈ²¿¡¼­ º¸ÀÎ °Å¶ó ÇÏ¿ì´Ù.",È¯ÀÚ´Â ¼ö¿ä¼º ÇãÇ÷ ¾Î°í ÀÖ¼ö´Ù.,,
entailment,¿Ü°ú Å¬¸³ÀÌ ¸ÕÂÊ ½Ã±×¸ðÀÌµå ´ëÀå¿¡ ¶Ç·ÇÇã°Ô º¸ÀÌÁÖ°Ô.,¿¹Àü¿¡ ½Ã±×¸ðÀÌµå ´ëÀå ½Ã¼ú Çß´ø Àû ÀÖ¼ö´Ù.,,
contradiction,¿Ü°ú Å¬¸³ÀÌ ¸ÕÂÊ ½Ã±×¸ðÀÌµå ´ëÀå¿¡ ¶Ç·ÇÇã°Ô º¸ÀÌÁÖ°Ô.,¹è¿¡ ¼ö¼úÀÌ³ª ½Ã¼úÇÑ Àû ¾ø¾ú¼ö´Ù.,,
neutral,¿Ü°ú¿ë Å¬¸³ÀÌ ¸ÕÂÊ ½Ã±×¸ðÀÌµå ´ëÀå¿¡ ¶ÈÇã°Ô º¸ÀÌÁÖ°Ô.,È¯ÀÚ´Â ¹è ¾ÆÇÂ º´·Â ÀÖ¼ö´Ù.,,
entailment,"(Á¥»ê ¼öÄ¡°¡ 1.3»ÓÀÌÁ¨ ÇÏ¿µ ³·Àº °ªÀÌ¿©¼­, È¯ÀÚ ¿­Àº ÇÏ³ªµµ ¾È ³ªÁÖ°Ô.)",Ã¼¿ÂÀº Á¤»ó ¹üÀ§ ¾ÈÀÌ¾ú¼ö´Ù.,,
contradiction,"(Á¥»ê ¼öÄ¡°¡ 1.3»ÓÀÌÁ¨ ÇÏ¿µ ³·¾Ó, È¯ÀÚ ¿­Àº ¾øÁÖ°Ô.)",Ã¼¿ÂÀÌ ¿Ã¶ú¼ö´Ù.,,
neutral,"(Á¥»ê ¼öÄ¡°¡ 1.3»ÓÀÌÁ¨ ÇÏ¿µ ³·¾Ó, È¯ÀÚ ¿­Àº ¾øÁÖ°Ô.)",È¯ÀÚ °Ç°­»óÅÂ ÁÁ¼ö´Ù.,,
entailment,"±× »ç¶÷ ÃÊ±â Ç÷¾ÐÀÌ 190/110±îÁö ¿Ã¶ó°¬¼ö´Ù°Ô, ±×·¡¼­ Á¤¸ÆÀ¸·Î ¶óº£Å»·Ñ ³Ö¾îÁÖ¸Û ½Å°æÇÐ °Ë»ç ÀÚÁÖ ÇØº¸Á¨ °íÃÄ ÁßÈ¯ÀÚ½Ç¿¡ µé¿©º¸³»Á³¼ö´Ù.",±× »ç¶÷ Ç÷¾ÐÀÌ ³ô¾Ò¼ö´Ù.,,
contradiction,"±× »ç¶÷ ÃÊ±â Ç÷¾ÐÀÌ 190/110±îÁö ¿Ã¶ó°¡½Å °©¼­, Á¤¸ÆÀ¸·Î ¶óº£Å»·Ñ ÁÖ»ç ¸Â°í ½Å°æÇÐ °Ë»ç ÀÚÁÖ ¹Þ¾Æº¸Á¨ °íÃÄ ÁßÈ¯ÀÚ½Ç¿¡ ÀÔ¿øÇØºÎ·¶¼ö´Ù.",±× »ç¶÷ Ç÷¾Ð ³·¾Ò¼ö´Ù.,,
neutral,"±× »ç¶÷ ÃÊ±â Ç÷¾ÐÀÌ 190/110±îÁö Ä¡¼Ú¾ÆºÒ¾î½Å °©¼­, Á¤¸Æ ¶óº£Å»·Ñ Åõ¿©Çã¸Û ½Å°æÇÐ °Ë»ç ÀÚÁÖ ¹ÞÀ¸Á¨ °íÃÄ ÁßÈ¯ÀÚ½Ç¿¡ µé¾î°¡ºÎ·¶¼ö´Ù.",±× »ç¶÷ ¸Ó¸® ¾ÆÇÁ´Ù Çã¿ì´Ù.,,
entailment,"¾î¸ÛÀº ÀÔ¿øÇã°î ¸¶±×³×½· Åõ¿© ¹Þ±â ½ÃÀÛÇé¼­, ±× ¿µÇâÀ¸·Î ÀÚ±Ã ¼öÃàÀÌ ÁÙ¾îµé¾îºÎ·¶¼ö´Ù.",È¯ÀÚ°¡ ºÐ¸¸ ÁßÀÌ¿ì´Ù.,,
contradiction,"¾î¸ÛÀº ÀÔ¿øÇØ°¡ ¸¶±×³×½· Åõ¿© ¹Þ±â ½ÃÀÛÇé¼­, ±× µÚ·ç ÀÚ±Ã ¼öÃàÀÌ ÁÙ¾îµé¾îºÎ·¶¼ö´Ù.",È¯ÀÚ´Â ¾Æ¹« Áõ»óµµ ¾È º¸ÀÌ¿ì´Ù.,,
neutral,"¾î¸ÛÀº ÀÔ¿øÇã°î ¸¶±×³×½·À» ¸Â±â ½ÃÀÛÇØ½Å °©¼­, ±× ¿µÇâÀ¸·Î ¼öÃàÀÌ ÁÙ¾îµé¾îºÎ·¶¼ö´Ù.",È¯ÀÚ´Â ÀÚ°£Áõ ¾Î°í ÀÖ¼ö´Ù.,,
entailment,±× »ç¶÷ ¼ö¼ú Àü¿¡ ÇÑ °Ë»ç¼­ °£¾ÏÀÌ µý µ¥·Î ¹øÁ³´Ù´Â Áõ°Å´Â ÇÏ³ªµµ ¾È º¸¿´¼ö´Ù.,±×´Â °£¾Ï Ä¡·áÇÏ·Á°í ¼ö¼ú ¹Þ¾Ò¼ö´Ù.,,
contradiction,±× ¼ö¼ú Àü °Ë»ç¼­ °£¾ÏÀÌ ´Ù¸¥ µ¥·Î ¹øÁø ÈçÀûÀº ÇÏ³ªµµ ¾È º¸¿´¼ö´Ù.,È¯ÀÚ ¾ÏÀÌ ´Ù¸¥ µ¥·Î ¹øÁ³¼ö´Ù.,,
neutral,±× ¼ö¼ú Àü °Ë»ç¼­´Â °£¾ÏÀÌ ¹øÁ®ºÎ·± Áõ°Å°¡ ÇÏ³ªµµ ¹ß°ß ¾È µÆ¼ö´Ù.,¼ú ¸¹ÀÌ ¸¶¼Ì´ø °ú°Å·Â ÀÖ¼ö´Ù.,,
entailment,¾Æ±â´Â ¼­¼­È÷ º¹¼ö°¡ ºüÁ®°¡¸Û Áß³úµ¿¸Æ Ç÷·ù°¡ ÁÁ¾ÆÁø °ÍÀÌ È®ÀÎµÆ¼ö´Ù.,¾Æ±â´Â ÅÂ¾Æ¼º ¼öÁ¾ °°´Ù´Â ¼Ò°ß º¸¿´¼ö´Ù.,,
contradiction,¾Æ±â´Â Á¶±Ý¾¿ º¹¼ö°¡ ºüÁ®°¡¸Û Áß³úµ¿¸Æ Ç÷·ù°¡ ÁÁ¾ÆÁ³´Ü °ÍÀÌ È®ÀÎµÆ¼ö´Ù.,¾Æ±â´Â ºñÁ¤»óÀûÀÎ º¹¸·¾× ¾ø¾ú¼ö´Ù.,,
neutral,¾Æ±â´Â Á¡Á¡ º¹¼ö°¡ ÇØ¼ÒµÅ°¡¸Û Áß³úµ¿¸Æ Ç÷·ù°¡ ÁÁ¾ÆÁø °ÍÀÌ È®ÀÎµÆ¼ö´Ù.,¾Æ±â°¡ ½ÉºÎÀü °É·È¼ö´Ù.,,
entailment,"¸¶±×³×½· È²»ê¿°À» ²÷¾îºÎ³­ ¸ð¼º ÂÊ¿¡¼­´Â ´õ ÃâÇ÷ ³ªºÎ³­°¡, ÅÂ¹Ý Á¶±â ¹Ú¸®µÉ±î ¿ì·Á°¡ ÀÖ¾ú¼ö´Ù.",ÀÓ½ÅÀÌ ÃâÇ÷ ¶§¹®¿¡ º¹ÀâÇØÁ³¼ö´Ù.,,
contradiction,"¸¶±×³×½· È²»ê¿°ÀÌ Áß´ÜµÅºÎ³­ ¾î¸Ó´Ï´Â ´õ ÃâÇ÷ ³ªºÎ³­°¡, ÅÂ¹Ý Á¶±â ¹Ú¸®µÉ±î °ÆÁ¤Çß¼ö´Ù.",ÀÓ½ÅÇÏ°í Ãâ»êÀº ¹®Á¦ ¾øÀÌ Àß µÆ¼ö´Ù.,,
neutral,¸¶±×³×½· È²»ê¿°À» ¸ØÃß´Ï ¸ð¼º¿¡¼­´Â ÃâÇ÷ÀÌ ´õ »ý±âÁÖ°Ô ÅÂ¹Ý Á¶±â ¹Ú¸®µÉ±î ¿ì·Á°¡ ÀÖ¾ú´Ù°í ÇÏ¿ì´Ù.,¾î¸Ó´Ï°¡ ÃÖ±Ù ¹è ÂÊ ¿Ü»ó ÀÔ¾ú¼ö´Ù.,,
entailment,"CHF ½É±Ùº´Áõ, ½É¹æ¼¼µ¿, °ü»óµ¿¸ÆÁúÈ¯, ½É±Ù°æ»ö ÈÄ [3441], ³úÁ¹Áß [3471], °©»ó¼±Á¾(Dr. [Last Name (STitle) 6839]), Ã¶°áÇÌ¼º ºóÇ÷, ´ë»óÆ÷Áø ÈÄ ½Å°æÅë, µð¹öÆ¼Å§¶óÁõ, °ñÀÇ ÆäÀÌÁöÆ®º´, ¸¸¼º ºÎºñµ¿¿°, À§Àå°ü ÃâÇ÷ [3460] + Çï¸®ÄÚ¹ÚÅÍ ÇÇ·Î¸®±Õ °¨¿° ÀÖ¼ö´Ù.",È¯ÀÚ´Â ¿©·¯ ¸¸¼º ÁúÈ¯ ÀÖ¼ö´Ù.,,
contradiction,"CHF ½É±Ùº´Áõ, ½É¹æ¼¼µ¿, °ü»óµ¿¸ÆÁúÈ¯, ½É±Ù°æ»ö ÈÄ [3441], ³úÁ¹Áß [3471], °©»ó¼±Á¾(Dr. [Last Name (STitle) 6839]), Ã¶°áÇÌ¼º ºóÇ÷, ´ë»óÆ÷Áø ÈÄ ½Å°æÅë, µð¹öÆ¼Å§¶óÁõ, »ÀÀÇ ÆäÀÌÁöÆ®º´, ¸¸¼º ºÎºñµ¿¿°, À§Àå°ü ÃâÇ÷ [3460] + Çï¸®ÄÚ¹ÚÅÍ ÇÇ·Î¸®±Õ °¨¿° ÀÖ¼ö´Ù.",È¯ÀÚ´Â °ú°Å º´·Â ¾ø¼ö´Ù.,,
neutral,"CHF ½É±Ùº´Áõ, ½É¹æ¼¼µ¿, °ü»óµ¿¸ÆÁúÈ¯, ½É±Ù°æ»ö ÈÄ [3441], ³úÁ¹Áß [3471], °©»ó¼±ºñ´ëÁõ(Dr. [Last Name (STitle) 6839]), Ã¶°áÇÌ¼º ºóÇ÷, ´ë»óÆ÷Áø ÈÄ ½Å°æÅë, ´ëÀå µð¹öÆ¼Å§·Î½ºÁõ, »ÀÀÇ ÆäÀÌÁöÆ®º´, ¸¸¼º ºÎºñµ¿¿°, À§Àå°üÃâÇ÷ [3460] + Çï¸®ÄÚ¹ÚÅÍ ÇÇ·Î¸®±Õ °¨¿° ÀÖ¼ö´Ù.",È¯ÀÚ´Â ³ªÀÌ ¸¹¼ö´Ù.,,
entailment,"±×´Â [**Hospital3 4254**] [**12-19**]¿¡ ÀÔ¿øÇã±â Àü¿¡ ºñ´¢±â°ú Àü¹®ÀÇ¸¦ Ã£¾Æ°¡Á®, Foley »ðÀÔ ÈÄ ¼Òº¯ ¼Ó¿¡ ¶Ë ¼ººÐÀÌ º¸¿´Á®½ÅÇã´Ù º¸°íµÇ¾úÁÖ°Ô.",±× »ç¶÷ ¼Òº¯ °Ë»ç ºñÁ¤»ó ³ª¿Ô¼ö´Ù.,,
contradiction,"±×´Â [**Hospital3 4254**] [**12-19**]¿¡ ÀÔ¿øÇã±â Àü¿¡ ºñ´¢±â°ú ÀÇ»ç ¸¸³ªÁ®, Æú¸® Ä«Å×ÅÍ »ðÀÔ ¹ÞÀº ÈÄ¿¡ ¼Òº¯ ¼Ó¿¡ ¶Ë ¼ººÐÀÌ È®ÀÎµÇ¾úÁÖ°Ô.",±× »ç¶÷ ¼Òº¯Àº Á¤»óÃ³·³ º¸¿´¼ö´Ù.,,
neutral,"±×´Â [**Hospital3 4254**] [**12-19**]¿¡ ÀÔ¿øÇã±â Àü¿¡ ºñ´¢±â°ú Àü¹®ÀÇ¸¦ Ã£¾Æ°¡Á®, Ç®¸® Ä«Å×ÅÍ »ðÀÔ ¹Þ°í ³­ ÈÄ ¼Òº¯ ¼Ó¿¡ ¶Ë °°Àº ¹°ÁúÀÌ ¹ß°ßµÇ¾úÁÖ°Ô.",±× »ç¶÷ ÃÖ±Ù ¼ö¼ú ¹Þ¾Ò¼ö´Ù.,,
entailment,"±×³à´Â °á±¹ ½É³¶ »ïÃâ, ½É³¶ ¾Ð¹Ú(Å½Æù), ¼Ò·®ÀÇ Èä¸· »ïÃâ, °üÀý »ïÃâÀ» º¸¿´°í ¹«¸­ÀÌ º×°í °üÀýÅë±îÁö µ¿¹ÝÇÑ ¿©·¯ ¹®Á¦°¡ ÀÖ´Â °ÍÀ¸·Î ¹àÇôÁ³¼ö´Ù.",±×³à ÈäºÎ X-¼± °á°ú ºñÁ¤»óÀÌ¿ì´Ù.,,
contradiction,"±×³à´Â °á±¹ ½É³¶ »ïÃâ, ½É³¶ ¾Ð¹Ú, ¼Ò·®ÀÇ Èä¸· »ïÃâ, °üÀý »ïÃâÀ» º¸¿´°í ¹«¸­ ºÎÁ¾ ¹× °üÀýÅëÀ» Æ÷ÇÔÇÑ ¿©·¯ ¹®Á¦°¡ ÀÖ´Â °ÍÀ¸·Î ÆÇ¸íµÇ¾ú¼ö´Ù.",±×³à´Â ½ÉÀåÀÌ³ª Æó °ü·Ã º´·Â ¾ø¼ö´Ù.,,
neutral,"±×³à´Â °á±¹ ½É³¶ »ïÃâ, ½É³¶ ¾Ð¹Ú, ¼Ò·®ÀÇ Èä¸· »ïÃâ, °üÀý »ïÃâÀ» º¸¿´À¸¸ç ¹«¸­ÀÌ ºÎ¾î ÀÖ°í °üÀýÅëÀ» Æ÷ÇÔÇÑ ¿©·¯ ¹®Á¦¸¦ °¡Áö°í ÀÖ´Â °ÍÀ¸·Î È®ÀÎµÇ¾ú¼ö´Ù.",±×³à °üÀý¿° ¾Î°í ÀÖ¼ö´Ù.,,
entailment,±×³à´Â Àü³¯ ÇÑ ¹ø ±¸Åä/±¸¿ªÁú Áõ»óÀ» °Þ¾ú¼ö´Ù.,±×³à ÃÖ±Ù ÅäÇß¼ö´Ù.,,
contradiction,±×³à´Â PTA ´çÀÏ ÇÑ ¹ø ±¸Åä/±¸¿ªÁú Áõ»óÀ» °Þ¾ú¼ö´Ù.,±×³à ÃÖ±Ù Åä ¾È Çß´Ù°í Çß¼ö´Ù.,,
neutral,±×³à´Â PTA ´çÀÏ ÇÑ ¹øÀÇ ±¸Åä/±¸¿ªÁú Áõ»óÀ» °æÇèÇß¼ö´Ù.,±×³à ¸ö¿¡ Èû ºüÁø´Ù Çã¿ì´Ù.,,
